Name,Website URL,LinkedIn URL,Phone Number,Number of Employees,Address
Apollo.io,http://www.apollo.io,http://www.linkedin.com/company/apolloio,,1700,"535 mission street, san francisco, california, united states"
Microsoft,http://www.microsoft.com,http://www.linkedin.com/company/microsoft,+1 425-638-7777,238000,"1 microsoft way, redmond, washington 98052, us"
Meta,http://www.meta.com,http://www.linkedin.com/company/meta,+1 650-543-4800,129000,"1 hacker way, menlo park, ca 94025, us"
Google,http://www.google.com,http://www.linkedin.com/company/google,+1 650-253-0000,305000,"1600 amphitheatre parkway, mountain view, ca 94043, us"
Indago Research,http://www.indago-research.com,http://www.linkedin.com/company/indago-research,+1 617-500-2340,20,"1400 112th ave se, ste 100, bellevue, washington 98004, us"
Bing,http://www.bing.com,,+1 425-882-8080,0,"2298 e williams field rd, san tan mall, gilbert, az 85295"
Amazon,http://www.amazon.com,http://www.linkedin.com/company/amazon,+1 206-266-1000,1608000,"2127 7th ave., seattle, wa 98109, us"
Tata Motors,http://www.tatamotors.com,http://www.linkedin.com/company/tata-motors,+91 22 6240 7101,92000,"bombay house 24, homi mody street, mumbai, maharashtra, india"
